,sourceID,sourceName,beamsize,x_emittance,y_emittance,x_norm_emittance,y_norm_emittance,losses,relbeta
0,16777217,bs_1,1.0,0.03888399881348444,0.038804512792951135,8.976166701222392e-05,8.957817771264182e-05,0,0.0023084412762417084
1,16777218,bs_4,4.0,0.6258680173285547,0.6147055269409023,0.001444783273560404,0.0014190152538552322,0,0.0023084410514684754
2,16777219,bs_7,7.0,1.8667080366608544,1.7566784314684432,0.004309196633543628,0.004055199117609959,0,0.0023084408848418787
3,16777220,bs_10,10.0,4.1964928941365045,3.7808507610115676,0.00968738119524842,0.008727893383410729,0,0.002308440792837299
4,16777221,bs_13,13.0,8.180638218032627,6.529233202859833,0.018884567221885622,0.015072386779674398,1,0.002308440539911382
5,16777222,bs_16,16.0,13.409947539307057,9.29640751729291,0.030956150268899398,0.021460262034784666,13,0.002308440633116979
6,16777223,bs_19,19.0,20.554994927118916,13.331811387854804,0.04745011631872739,0.03077577996667074,33,0.0023084408465367454
7,16777224,bs_22,22.0,24.6212764921753,17.62729387406229,0.0568369084592612,0.040691671230895524,55,0.0023084407113523817
8,16777225,bs_25,25.0,29.52966105114842,19.231646110321787,0.06816764832976824,0.04439522981927307,109,0.002308440539911382
9,16777226,bs_28,28.0,32.368176572483875,22.97974460873063,0.07472021454558278,0.053047518556442685,150,0.0023084406775209718
10,16777227,bs_31,31.0,34.63922910163199,24.755840169514695,0.07996282372258764,0.057147544414785874,186,0.002308440826751215
